total sulfur dioxide,sulphates,fixed acidity,chlorides,volatile acidity
132.0,0.55,6.9,0.044,0.35
103.0,0.4,7.6,0.04,0.14
137.0,0.34,9.2,0.042,0.28
90.0,0.37,6.2,0.047,0.18
105.0,0.47,5.3,0.051,0.165
225.0,0.43,9.8,0.056,0.25
124.0,0.41,8.1,0.042,0.29
128.0,0.35,6.8,0.052,0.22
140.0,0.34,7.2,0.045,0.22
156.0,0.55,7.4,0.042,0.25
81.0,0.68,8.2,0.033,0.18
87.0,0.46,6.1,0.051,0.22
119.0,0.31,7.0,0.048,0.39
87.0,0.46,6.1,0.051,0.22
94.0,0.49,6.5,0.03,0.36
99.0,0.33,7.1,0.031,0.29
156.0,0.55,7.4,0.042,0.25
94.0,0.5,6.9,0.053,0.23
243.0,0.7,8.5,0.051,0.56
81.0,0.68,8.2,0.033,0.18
210.0,0.34,6.3,0.05,0.23
226.0,0.47,6.1,0.052,0.25
162.0,0.44,7.2,0.05,0.26
117.0,0.35,7.2,0.057,0.31
117.0,0.34,8.0,0.061,0.25
125.0,0.4,7.0,0.04,0.18
158.0,0.35,7.8,0.033,0.43
130.0,0.42,8.3,0.044,0.2
92.0,0.42,6.3,0.063,0.27
150.0,0.47,7.4,0.055,0.16
150.0,0.47,7.4,0.055,0.16
172.0,0.27,6.9,0.036,0.19
158.0,0.35,7.8,0.033,0.43
138.0,0.42,7.2,0.048,0.4
158.0,0.35,7.8,0.033,0.43
156.0,0.38,7.6,0.034,0.52
231.0,0.54,8.3,0.054,0.21
150.0,0.81,6.9,0.069,0.34
92.0,0.42,6.3,0.063,0.27
130.0,0.42,8.3,0.044,0.2
144.0,0.41,7.1,0.044,0.22
133.0,0.42,7.9,0.048,0.11
128.0,0.4,8.5,0.05,0.17
164.0,0.44,6.4,0.048,0.145
150.0,0.47,7.4,0.055,0.16
137.0,0.46,8.3,0.051,0.19
151.0,0.27,8.0,0.031,0.44
163.0,0.53,7.0,0.044,0.2
172.0,0.27,6.9,0.036,0.19
96.0,0.39,7.1,0.03,0.25
60.0,0.39,6.5,0.046,0.24
138.0,0.42,7.2,0.048,0.4
156.0,0.38,7.6,0.034,0.52
158.0,0.35,7.8,0.033,0.43
48.0,0.28,7.8,0.052,0.21
128.0,0.48,7.0,0.038,0.2
85.0,0.48,6.9,0.057,0.25
148.0,0.44,7.2,0.05,0.08
184.0,0.36,7.1,0.028,0.85
104.0,0.29,7.6,0.04,0.51
159.0,0.28,7.9,0.044,0.22
124.0,0.49,7.7,0.056,0.16
148.0,0.44,7.2,0.05,0.08
124.0,0.6,6.6,0.048,0.25
187.0,0.81,6.7,0.046,0.16
85.0,0.48,6.9,0.057,0.25
134.0,0.5,7.5,0.053,0.32
126.0,0.39,7.4,0.034,0.28
51.0,0.7,6.2,0.033,0.15
169.0,0.45,6.7,0.054,0.25
224.0,0.54,6.5,0.044,0.26
187.0,0.41,7.9,0.037,0.16
117.0,0.45,5.6,0.03,0.185
97.0,0.62,7.5,0.031,0.2
188.0,0.48,8.0,0.046,0.3
180.0,0.38,8.0,0.033,0.34
186.0,0.38,7.7,0.033,0.35
197.0,0.38,7.6,0.03,0.29
62.0,0.32,6.7,0.039,0.62
126.0,0.48,6.8,0.044,0.27
86.0,0.42,7.7,0.041,0.27
155.0,0.6,6.7,0.043,0.51
132.0,0.32,7.4,0.03,0.19
169.0,0.37,8.3,0.04,0.2
121.0,0.36,6.6,0.034,0.3
124.0,0.34,6.8,0.039,0.36
126.0,0.38,7.0,0.045,0.17
130.0,0.49,9.2,0.041,0.18
205.0,0.52,8.1,0.051,0.2
160.0,0.64,7.8,0.044,0.26
170.0,0.44,6.8,0.06,0.21
144.0,0.47,7.9,0.053,0.2
145.0,0.48,8.0,0.061,0.18
126.0,0.51,8.8,0.042,0.23
134.0,0.32,7.3,0.034,0.22
161.0,0.28,7.3,0.031,0.22
132.0,0.32,7.4,0.03,0.19
136.0,0.77,7.3,0.039,0.155
154.0,0.33,8.2,0.037,0.22
163.0,0.33,8.2,0.038,0.24
95.0,0.34,8.4,0.035,0.23
169.0,0.37,8.3,0.04,0.2
167.0,0.37,8.3,0.038,0.2
121.0,0.36,6.6,0.034,0.3
164.0,0.63,6.9,0.041,0.21
185.0,0.49,8.0,0.044,0.25
158.0,0.39,6.6,0.042,0.21
156.0,0.44,7.2,0.037,0.27
156.0,0.54,14.2,0.037,0.27
195.0,0.55,7.9,0.045,0.28
156.0,0.54,7.4,0.037,0.27
158.0,0.39,6.6,0.042,0.21
156.0,0.44,7.2,0.037,0.27
174.0,0.3,8.1,0.037,0.3
209.0,0.3,7.5,0.049,0.23
107.0,0.54,7.3,0.028,0.26
176.0,0.67,7.1,0.044,0.18
122.0,0.4,8.5,0.031,0.15
24.0,0.32,8.9,0.028,0.13
148.0,0.41,8.1,0.04,0.28
106.0,0.42,6.0,0.034,0.17
107.0,0.54,7.3,0.028,0.26
176.0,0.67,7.1,0.044,0.18
86.0,0.32,7.1,0.029,0.53
104.0,0.57,7.2,0.037,0.16
99.0,0.72,7.3,0.038,0.14
24.0,0.32,8.9,0.028,0.13
152.0,0.47,7.9,0.049,0.12
156.0,0.45,6.7,0.034,0.29
158.0,0.45,6.7,0.034,0.3
102.0,0.59,7.1,0.025,0.36
122.0,0.4,8.5,0.031,0.15
157.0,0.48,7.9,0.051,0.18
129.0,0.31,6.6,0.122,0.19
152.0,0.44,7.3,0.038,0.21
156.0,0.63,6.9,0.057,0.3
164.0,0.6,7.9,0.056,0.42
148.0,0.57,6.9,0.032,0.24
182.0,0.58,7.6,0.036,0.23
157.0,0.48,7.9,0.051,0.18
115.0,0.57,6.2,0.045,0.43
56.0,0.33,8.8,0.036,0.35
156.0,0.52,7.8,0.033,0.3
112.0,0.46,9.1,0.059,0.28
126.0,0.33,7.1,0.027,0.34
156.0,0.52,7.8,0.033,0.3
112.0,0.46,9.1,0.059,0.28
117.0,0.51,8.5,0.044,0.19
158.0,0.41,7.6,0.046,0.18
110.0,0.44,7.5,0.055,0.19
188.0,0.58,7.4,0.055,0.3
157.0,0.46,6.7,0.038,0.3
159.0,0.45,6.6,0.041,0.3
188.0,0.58,7.4,0.055,0.3
168.0,0.5,6.9,0.063,0.22
116.0,0.35,7.8,0.045,0.26
108.0,0.34,8.5,0.048,0.17
182.0,0.76,6.8,0.053,0.17
74.0,0.44,6.2,0.05,0.27
128.0,0.58,7.1,0.05,0.64
168.0,0.68,6.4,0.046,0.18
191.0,0.53,7.6,0.062,0.31
119.0,0.45,9.8,0.046,0.31
84.0,0.32,9.0,0.039,0.3
108.0,0.33,8.4,0.039,0.24
168.0,0.68,6.4,0.046,0.18
209.0,0.42,6.4,0.045,0.25
165.0,0.4,7.3,0.039,0.3
147.0,0.46,9.3,0.042,0.31
209.0,0.42,6.4,0.045,0.25
165.0,0.4,7.3,0.039,0.3
122.0,0.48,7.0,0.036,0.27
165.0,0.82,7.9,0.028,0.14
161.0,0.44,6.4,0.042,0.12
111.0,0.41,6.8,0.047,0.21
63.0,0.59,8.6,0.043,0.16
136.0,0.4,7.0,0.047,0.29
206.0,0.43,6.4,0.046,0.27
122.0,0.3,6.6,0.034,0.55
206.0,0.43,6.4,0.046,0.27
108.0,0.39,6.3,0.172,0.24
94.0,0.5,6.7,0.167,0.33
136.0,0.4,7.0,0.047,0.29
223.0,0.52,8.2,0.046,0.34
77.0,0.36,5.6,0.034,0.39
53.0,0.5,5.6,0.034,0.41
137.0,0.35,6.7,0.048,0.41
113.0,0.42,7.1,0.032,0.26
109.0,0.46,7.5,0.031,0.32
118.0,0.38,5.8,0.04,0.19
235.0,0.47,6.9,0.057,0.27
212.0,0.46,8.1,0.048,0.2
109.0,0.46,7.5,0.031,0.32
100.0,0.34,8.2,0.04,0.26
87.0,0.32,7.8,0.027,0.26
120.0,0.4,8.0,0.035,0.14
131.0,0.34,8.0,0.035,0.29
140.0,0.47,7.5,0.047,0.19
206.0,0.4,6.9,0.045,0.34
143.0,0.52,6.2,0.065,0.2
243.0,0.48,6.4,0.045,0.37
128.0,0.36,6.2,0.029,0.22
87.0,0.32,7.8,0.027,0.26
131.0,0.34,8.9,0.05,0.32
169.0,0.37,6.5,0.045,0.44
118.0,0.36,7.0,0.053,0.14
131.0,0.51,9.0,0.039,0.17
161.0,0.53,6.4,0.037,0.26
195.0,0.44,9.0,0.048,0.22
131.0,0.34,8.9,0.05,0.32
108.0,0.35,8.2,0.057,0.2
98.0,0.31,7.8,0.047,0.15
121.0,0.7,6.9,0.053,0.25
108.0,0.35,8.2,0.057,0.2
111.0,0.58,7.1,0.041,0.28
110.0,0.38,7.4,0.037,0.19
228.0,0.52,8.3,0.048,0.25
126.0,0.45,7.5,0.035,0.14
149.0,0.33,7.8,0.043,0.49
160.0,0.48,8.1,0.042,0.12
220.0,0.51,7.6,0.239,0.47
105.0,0.39,7.9,0.042,0.22
149.0,0.33,7.8,0.043,0.49
151.0,0.52,6.4,0.054,0.22
134.0,0.36,7.3,0.058,0.19
144.0,0.57,8.1,0.049,0.3
134.0,0.36,7.3,0.058,0.19
149.0,0.59,7.5,0.048,0.24
151.0,0.52,6.4,0.054,0.22
99.0,0.28,7.8,0.036,0.21
100.0,0.59,7.1,0.045,0.3
166.0,0.52,6.9,0.058,0.26
131.0,0.67,7.6,0.044,0.31
209.0,0.58,6.4,0.076,0.42
118.0,0.36,8.2,0.044,0.29
176.0,0.38,7.9,0.053,0.33
184.0,0.38,6.6,0.052,0.46
142.0,0.59,7.8,0.046,0.28
98.0,0.48,5.8,0.048,0.15
162.0,0.58,7.8,0.06,0.4
220.0,0.45,6.6,0.05,0.31
217.0,0.4,6.6,0.049,0.325
217.0,0.45,6.6,0.049,0.27
191.0,0.4,6.7,0.047,0.26
114.0,0.42,6.7,0.047,0.21
176.0,0.38,7.9,0.053,0.33
177.0,0.58,8.1,0.059,0.28
114.0,0.51,6.5,0.036,0.13
84.0,0.43,7.8,0.04,0.445
128.0,0.51,8.8,0.055,0.39
72.0,0.38,7.9,0.033,0.18
124.0,0.44,7.1,0.036,0.31
160.0,0.56,7.8,0.046,0.24
87.0,0.42,7.0,0.028,0.35
168.0,0.38,6.6,0.138,0.26
163.0,0.38,6.6,0.137,0.27
188.0,0.44,6.8,0.046,0.22
224.0,0.47,6.2,0.047,0.27
87.0,0.42,7.0,0.028,0.35
156.0,0.35,7.3,0.032,0.23
170.0,0.45,6.2,0.045,0.3
117.0,0.43,6.4,0.034,0.35
197.0,0.55,7.6,0.054,0.32
212.0,0.55,6.3,0.046,0.31
205.0,0.38,7.2,0.055,0.25
205.0,0.38,7.2,0.055,0.25
195.0,0.44,7.3,0.049,0.26
205.0,0.38,7.2,0.055,0.25
147.0,0.72,7.4,0.047,0.26
195.0,0.44,7.3,0.049,0.26
216.0,0.63,6.7,0.041,0.25
123.0,0.55,7.1,0.034,0.16
175.0,0.45,9.0,0.05,0.43
205.0,0.38,7.2,0.055,0.25
213.0,0.49,7.0,0.04,0.24
198.0,0.41,6.7,0.048,0.265
150.0,0.42,7.7,0.06,0.12
132.0,0.4,7.2,0.036,0.21
190.0,0.31,8.5,0.041,0.32
190.0,0.37,6.9,0.038,0.18
213.0,0.49,7.0,0.04,0.24
175.0,0.43,6.3,0.043,0.26
121.0,0.61,6.7,0.043,0.26
208.0,0.46,7.9,0.033,0.29
114.0,0.35,6.5,0.046,0.27
151.0,0.44,6.7,0.058,0.33
148.0,0.45,6.7,0.057,0.31
127.0,0.47,6.6,0.035,0.25
157.0,0.55,6.4,0.038,0.24
179.0,0.4,6.8,0.056,0.26
161.0,0.6,7.0,0.051,0.61
180.0,0.39,6.8,0.055,0.22
67.0,0.47,8.1,0.032,0.31
120.0,0.51,7.0,0.037,0.2
178.0,0.51,7.9,0.061,0.18
136.0,0.49,6.6,0.059,0.34
116.0,0.48,6.8,0.123,0.3
148.0,0.59,6.5,0.04,0.18
108.0,0.5,7.0,0.046,0.21
142.0,0.43,6.8,0.044,0.27
178.0,0.43,9.3,0.05,0.2
69.0,0.31,5.8,0.043,0.23
180.0,0.44,7.6,0.044,0.2
190.0,0.45,8.2,0.052,0.15
148.0,0.38,7.5,0.041,0.4
148.0,0.59,6.5,0.04,0.18
122.0,0.42,7.0,0.056,0.13
152.0,0.37,6.9,0.064,0.17
97.0,0.44,7.0,0.034,0.3
212.0,0.36,7.6,0.045,0.445
116.0,0.48,6.8,0.123,0.3
138.0,0.68,7.5,0.036,0.22
99.0,0.3,9.2,0.031,0.23
198.0,0.37,8.7,0.055,0.34
111.0,0.32,6.6,0.031,0.545
123.0,0.45,8.1,0.041,0.3
185.0,0.38,6.9,0.057,0.16
178.0,0.47,8.0,0.042,0.32
104.0,0.42,6.1,0.052,0.22
185.0,0.38,6.9,0.057,0.16
101.0,0.44,7.5,0.054,0.15
55.0,0.32,8.4,0.032,0.29
150.0,0.45,6.6,0.061,0.37
152.0,0.32,7.7,0.038,0.38
142.0,0.35,6.3,0.039,0.25
169.0,0.51,8.3,0.042,0.3
136.0,0.3,6.6,0.133,0.22
238.0,0.48,6.1,0.053,0.34
87.0,0.42,7.5,0.05,0.22
169.0,0.51,8.3,0.042,0.3
102.0,0.42,8.0,0.044,0.27
135.0,0.43,6.1,0.056,0.17
174.0,0.57,7.4,0.045,0.18
153.0,0.51,6.7,0.046,0.16
197.0,0.54,6.1,0.045,0.255
141.0,0.54,7.4,0.049,0.23
93.0,0.43,6.4,0.042,0.16
142.0,0.35,6.3,0.039,0.25
202.0,0.43,6.7,0.053,0.27
215.0,0.44,6.9,0.056,0.29
53.0,0.46,9.6,0.038,0.21
224.0,0.44,6.6,0.046,0.62
181.0,0.35,6.4,0.042,0.28
124.0,0.51,8.0,0.044,0.3
98.0,0.42,6.4,0.037,0.17
112.0,0.5,7.3,0.037,0.21
202.0,0.43,6.7,0.053,0.27
215.0,0.44,6.9,0.056,0.29
209.0,0.45,6.6,0.054,0.32
179.0,0.69,7.4,0.051,0.32
144.0,0.38,6.6,0.048,0.37
102.0,0.56,7.7,0.046,0.43
181.0,0.42,7.8,0.059,0.39
141.0,0.72,6.5,0.041,0.18
178.0,0.43,7.8,0.059,0.4
181.0,0.42,7.8,0.059,0.39
99.0,0.4,6.9,0.054,0.19
135.0,0.4,7.7,0.03,0.49
163.0,0.47,6.6,0.069,0.25
141.0,0.72,6.5,0.041,0.18
150.0,0.69,6.4,0.034,0.15
150.0,0.69,6.4,0.034,0.15
150.0,0.38,8.4,0.052,0.17
200.0,0.44,6.1,0.051,0.32
142.0,0.37,8.5,0.034,0.21
100.0,0.57,8.7,0.067,0.45
127.0,0.46,6.7,0.038,0.24
142.0,0.37,8.5,0.034,0.21
115.0,0.52,7.4,0.04,0.33
158.0,0.43,7.2,0.033,0.26
122.0,0.34,8.2,0.035,0.36
189.0,0.74,7.8,0.026,0.2
176.0,0.46,9.4,0.042,0.16
117.0,0.5,6.4,0.054,0.33
153.0,0.53,7.8,0.056,0.22
187.0,0.64,7.4,0.062,0.35
120.0,0.54,6.6,0.064,0.37
149.0,0.47,6.7,0.061,0.37
126.0,0.62,7.1,0.037,0.37
128.0,0.34,6.9,0.039,0.25
173.0,0.41,6.8,0.073,0.23
162.0,0.58,6.4,0.04,0.26
191.0,0.4,7.6,0.049,0.3
67.0,0.32,9.4,0.042,0.16
173.0,0.41,6.8,0.073,0.23
162.0,0.58,6.4,0.04,0.26
191.0,0.4,7.6,0.049,0.3
119.0,0.39,7.5,0.065,0.33
116.0,0.41,7.6,0.046,0.38
184.0,0.79,8.8,0.053,0.2
119.0,0.39,7.5,0.065,0.33
184.0,0.79,8.8,0.053,0.2
184.0,0.41,6.6,0.049,0.36
116.0,0.41,7.6,0.046,0.38
72.0,0.37,5.6,0.042,0.46
110.0,0.43,7.2,0.038,0.15
100.0,0.32,8.2,0.03,0.42
164.0,0.53,6.8,0.038,0.3
131.0,0.5,6.7,0.029,0.27
114.0,0.34,7.2,0.034,0.5
96.0,0.44,6.0,0.032,0.26
131.0,0.41,6.8,0.032,0.33
164.0,0.53,6.8,0.038,0.3
110.0,0.38,7.4,0.035,0.29
100.0,0.32,8.2,0.03,0.42
231.0,0.54,7.3,0.054,0.19
165.0,0.32,6.5,0.033,0.32
84.0,0.6,7.1,0.034,0.32
165.0,0.32,6.5,0.033,0.32
231.0,0.54,7.3,0.054,0.19
240.0,0.54,7.3,0.051,0.17
167.0,0.43,7.7,0.031,0.44
167.0,0.43,7.7,0.031,0.44
153.0,0.51,7.4,0.03,0.49
167.0,0.43,7.7,0.031,0.44
153.0,0.51,7.4,0.03,0.49
160.0,0.41,6.4,0.044,0.21
213.0,0.56,8.0,0.211,0.55
104.0,0.54,7.0,0.123,0.19
102.0,0.64,7.2,0.037,0.24
247.0,0.55,6.5,0.052,0.34
104.0,0.54,7.0,0.123,0.19
164.0,0.51,6.9,0.054,0.18
102.0,0.64,7.2,0.037,0.24
249.0,0.52,8.2,0.039,0.18
139.0,0.77,8.3,0.059,0.28
94.0,0.62,6.1,0.029,0.34
157.0,0.44,7.4,0.049,0.44
180.0,0.38,7.6,0.041,0.26
157.0,0.44,7.4,0.049,0.44
243.0,0.82,8.7,0.052,0.49
189.0,0.42,7.0,0.042,0.24
181.0,0.42,7.1,0.046,0.25
94.0,0.62,6.1,0.029,0.34
127.0,0.67,6.4,0.049,0.18
107.0,0.59,8.3,0.058,0.27
172.0,0.55,6.8,0.048,0.24
197.0,0.45,8.0,0.053,0.22
181.0,0.46,10.0,0.056,0.91
176.0,0.47,8.9,0.056,0.34
171.0,0.47,8.9,0.056,0.33
197.0,0.45,8.0,0.053,0.22
161.0,0.66,6.7,0.046,0.18
186.0,0.46,7.8,0.054,0.2
104.0,0.92,7.3,0.054,0.13
202.0,0.39,6.6,0.049,0.28
122.0,0.61,7.1,0.042,0.25
142.0,0.43,7.6,0.255,0.36
199.0,0.5,7.6,0.05,0.27
137.0,0.37,6.9,0.031,0.37
144.0,0.38,7.4,0.031,0.21
140.0,0.37,8.2,0.035,0.18
163.0,0.5,6.3,0.049,0.19
168.0,0.49,7.0,0.048,0.21
166.0,0.46,5.8,0.047,0.33
166.0,0.46,5.8,0.047,0.33
154.0,0.31,7.9,0.034,0.29
165.0,0.6,6.6,0.058,0.31
140.0,0.49,8.0,0.053,0.19
78.0,0.37,8.0,0.032,0.2
248.0,0.57,8.0,0.043,0.25
103.0,0.36,7.2,0.043,0.2
213.0,0.63,7.7,0.045,0.3
103.0,0.36,7.2,0.043,0.2
213.0,0.63,7.7,0.045,0.3
213.0,0.63,7.7,0.045,0.3
124.0,0.39,6.4,0.029,0.22
103.0,0.36,7.2,0.043,0.2
107.0,0.32,7.0,0.036,0.53
178.0,0.43,7.3,0.05,0.24
185.0,0.42,7.2,0.049,0.24
112.0,0.76,7.6,0.036,0.15
213.0,0.63,7.7,0.045,0.3
197.0,0.64,7.6,0.045,0.33
142.0,0.41,6.8,0.046,0.24
142.0,0.41,6.8,0.046,0.24
161.0,0.44,6.8,0.056,0.35
212.0,0.49,7.9,0.039,0.26
166.0,0.41,7.5,0.037,0.29
166.0,0.41,7.5,0.037,0.29
89.0,0.64,7.2,0.053,0.31
104.0,0.62,6.7,0.03,0.44
166.0,0.43,10.0,0.033,0.23
118.0,0.34,7.4,0.039,0.21
183.0,0.49,8.8,0.04,0.23
106.0,0.55,7.8,0.04,0.34
212.0,0.49,7.9,0.039,0.26
166.0,0.41,7.5,0.037,0.29
120.0,0.69,6.0,0.037,0.28
158.0,0.59,7.9,0.029,0.37
98.0,0.59,7.2,0.038,0.36
126.0,0.39,7.6,0.062,0.13
180.0,0.42,6.6,0.045,0.25
71.0,0.74,7.1,0.041,0.18
112.0,0.46,7.9,0.036,0.3
153.0,0.5,8.3,0.049,0.23
135.0,0.37,6.8,0.033,0.43
98.0,0.59,7.2,0.038,0.36
180.0,0.42,6.6,0.045,0.25
71.0,0.74,7.1,0.041,0.18
177.0,0.58,6.6,0.044,0.35
189.0,0.66,7.3,0.049,0.22
158.0,0.49,8.1,0.052,0.26
126.0,0.39,7.6,0.062,0.13
127.0,0.41,7.0,0.055,0.12
59.0,0.48,8.2,0.028,0.37
106.0,0.4,7.6,0.032,0.26
97.0,0.43,6.3,0.204,0.2
96.0,0.43,6.3,0.208,0.22
169.0,0.41,7.1,0.052,0.25
193.0,0.39,7.0,0.047,0.27
172.0,0.4,8.8,0.036,0.34
228.0,0.41,9.2,0.043,0.27
307.5,0.37,7.1,0.047,0.49
93.0,0.34,9.2,0.042,0.71
182.0,0.35,7.2,0.083,0.47
87.0,0.66,6.8,0.04,0.28
172.0,0.4,8.8,0.036,0.34
228.0,0.41,9.2,0.043,0.27
172.0,0.39,7.3,0.08,0.13
84.0,0.34,7.2,0.031,0.16
143.0,0.38,6.8,0.052,0.31
256.0,0.64,8.3,0.052,0.36
143.0,0.38,6.8,0.052,0.31
256.0,0.64,8.3,0.052,0.36
195.0,0.52,6.3,0.041,0.25
197.0,0.4,6.0,0.051,0.45
152.0,0.58,8.1,0.049,0.26
158.0,0.43,6.4,0.066,0.22
197.0,0.4,5.7,0.051,0.45
135.0,0.57,7.2,0.046,0.19
160.0,0.44,6.7,0.054,0.31
219.0,0.46,8.0,0.036,0.25
185.0,0.49,9.9,0.046,1.005
142.0,0.34,8.1,0.028,0.31
172.0,0.74,8.1,0.044,0.24
219.0,0.46,8.0,0.036,0.25
169.0,0.57,6.4,0.063,0.29
63.0,0.4,7.2,0.027,0.15
89.0,0.38,7.0,0.058,0.12
238.0,0.58,7.4,0.056,0.32
91.0,0.37,8.5,0.024,0.17
91.0,0.37,8.5,0.024,0.17
123.0,0.64,9.5,0.039,0.21
99.0,0.57,8.2,0.041,0.21
238.0,0.58,7.4,0.056,0.32
173.0,0.46,6.8,0.046,0.31
163.0,0.38,6.8,0.076,0.27
114.0,0.35,7.4,0.047,0.21
186.0,0.56,8.0,0.044,0.23
142.0,0.53,7.6,0.047,0.2
164.0,0.79,6.3,0.03,0.41
116.0,0.47,8.3,0.036,0.49
164.0,0.79,6.3,0.03,0.41
133.0,0.42,7.6,0.086,0.2
139.0,0.39,7.5,0.084,0.26
139.0,0.39,7.5,0.084,0.26
197.0,0.43,6.8,0.048,0.27
208.0,0.55,6.8,0.057,0.28
143.0,0.5,8.4,0.048,0.2
103.0,0.54,7.9,0.044,0.33
184.0,0.46,7.5,0.042,0.38
212.5,0.46,7.6,0.056,0.2
212.5,0.46,7.6,0.056,0.2
212.5,0.46,7.6,0.056,0.2
212.5,0.46,7.6,0.056,0.2
212.5,0.46,7.6,0.056,0.2
181.0,0.62,8.1,0.049,0.19
151.0,0.53,7.6,0.047,0.16
176.0,0.55,8.1,0.043,0.22
201.0,0.53,8.0,0.043,0.22
102.0,0.31,7.1,0.034,0.33
110.0,0.52,6.4,0.054,0.43
212.5,0.46,7.6,0.056,0.2
103.0,0.44,7.0,0.057,0.12
180.0,0.45,7.4,0.053,0.3
168.0,0.67,7.0,0.043,0.28
170.0,0.82,8.4,0.055,0.2
168.0,0.67,7.0,0.043,0.28
170.0,0.82,8.4,0.055,0.2
170.0,0.82,8.4,0.055,0.2
197.0,0.46,7.3,0.055,0.18
145.0,0.46,6.8,0.04,0.31
147.0,0.46,6.7,0.038,0.31
154.0,0.69,7.6,0.047,0.17
180.0,0.45,7.4,0.053,0.3
178.0,0.68,7.4,0.043,0.26
168.0,0.67,7.0,0.043,0.28
170.0,0.82,8.4,0.055,0.2
84.0,0.58,5.6,0.038,0.18
159.0,0.47,7.2,0.043,0.15
98.0,0.41,8.0,0.034,0.4
95.0,0.53,7.0,0.035,0.25
159.0,0.47,7.2,0.043,0.15
160.0,0.45,6.8,0.064,0.18
133.0,0.67,6.6,0.046,0.32
71.0,0.36,9.0,0.026,0.55
84.0,0.66,6.9,0.028,0.19
110.0,0.38,6.3,0.023,0.41
71.0,0.36,9.0,0.026,0.55
136.0,0.46,7.0,0.049,0.2
133.0,0.67,6.6,0.046,0.32
163.0,0.7,7.7,0.05,0.26
142.0,0.42,6.3,0.051,0.21
215.0,0.53,7.6,0.04,0.34
142.0,0.42,6.3,0.051,0.21
190.0,0.64,8.0,0.168,0.43
149.0,0.42,7.5,0.16,0.3
60.0,0.54,6.4,0.179,0.26
180.0,0.45,6.9,0.046,0.32
150.0,0.45,8.9,0.037,0.21
215.0,0.53,7.6,0.04,0.34
145.0,0.52,9.5,0.034,0.42
160.0,0.47,7.6,0.042,0.29
101.0,0.54,6.5,0.024,0.25
183.0,0.4,7.2,0.049,0.23
124.0,0.48,7.9,0.038,0.35
72.0,0.35,8.8,0.018,0.2
155.0,0.41,5.7,0.046,0.27
160.0,0.47,7.6,0.042,0.29
104.0,0.44,5.5,0.029,0.14
71.0,0.38,8.7,0.042,0.24
212.0,0.59,6.7,0.032,0.3
104.0,0.44,5.5,0.029,0.14
104.0,0.45,5.6,0.028,0.13
107.0,0.53,7.4,0.03,0.18
115.0,0.63,5.7,0.034,0.385
71.0,0.38,8.7,0.042,0.24
126.0,0.47,8.3,0.046,0.33
156.0,0.41,6.8,0.052,0.34
155.0,0.42,6.8,0.05,0.33
172.0,0.57,6.3,0.031,0.28
123.0,0.55,11.8,0.034,0.23
146.0,0.36,6.8,0.042,0.21
146.0,0.36,6.8,0.042,0.21
101.0,0.38,8.6,0.026,0.485
101.0,0.38,8.6,0.026,0.485
155.0,0.26,7.3,0.029,0.29
146.0,0.36,6.8,0.042,0.21
151.0,0.82,6.7,0.031,0.31
227.0,0.47,7.3,0.044,0.29
169.0,0.47,5.7,0.04,0.46
223.0,0.56,6.8,0.04,0.28
96.0,0.4,6.7,0.036,0.23
132.0,0.48,6.9,0.047,0.17
123.0,0.46,7.6,0.049,0.18
180.0,0.75,6.6,0.042,0.22
127.0,0.44,7.8,0.05,0.27
142.0,0.39,7.7,0.051,0.28
146.0,0.39,7.6,0.051,0.29
104.0,0.37,5.7,0.029,0.32
126.0,0.34,7.1,0.03,0.33
173.0,0.51,7.3,0.057,0.34
140.0,0.68,6.5,0.04,0.19
164.0,0.76,6.6,0.043,0.23
189.0,0.79,6.6,0.045,0.27
180.0,0.75,6.6,0.042,0.22
123.0,0.46,7.6,0.049,0.18
124.0,0.67,6.8,0.039,0.36
198.0,0.54,7.0,0.055,0.22
119.0,0.72,5.9,0.042,0.17
117.0,0.41,7.4,0.044,0.45
124.0,0.67,6.8,0.039,0.36
95.0,0.33,7.5,0.046,0.42
119.0,0.34,7.5,0.036,0.33
111.0,0.42,9.4,0.029,0.3
150.0,0.76,7.9,0.053,0.17
150.0,0.76,7.9,0.053,0.17
101.0,0.58,8.2,0.05,0.17
153.0,0.58,8.3,0.049,0.17
130.0,0.38,8.7,0.046,0.15
150.0,0.76,7.9,0.053,0.17
172.0,0.44,7.2,0.044,0.25
176.0,0.38,7.2,0.045,0.24
93.0,0.38,5.3,0.043,0.76
136.0,0.35,6.6,0.052,0.22
136.0,0.35,6.6,0.052,0.22
146.0,0.46,8.4,0.048,0.28
129.0,0.4,6.8,0.05,0.32
145.0,0.4,6.7,0.046,0.24
163.0,0.35,7.4,0.056,0.18
153.0,0.46,6.0,0.043,0.16
145.0,0.4,6.7,0.046,0.24
85.0,0.56,6.8,0.042,0.28
237.0,0.49,6.2,0.047,0.34
128.0,0.45,6.0,0.056,0.27
153.0,0.46,6.0,0.043,0.16
129.0,0.4,6.8,0.05,0.32
234.0,0.66,8.5,0.057,0.24
141.0,0.48,8.1,0.048,0.24
163.0,0.35,7.4,0.056,0.18
186.0,0.55,7.7,0.038,0.23
138.0,0.37,6.5,0.05,0.22
138.0,0.37,6.5,0.05,0.22
138.0,0.37,6.5,0.05,0.22
93.0,0.62,5.7,0.05,0.33
186.0,0.55,7.7,0.038,0.23
138.0,0.37,6.5,0.05,0.22
