total sulfur dioxide,sulphates,fixed acidity,chlorides,volatile acidity,type_encoded
98.0,0.42,8.4,0.033,0.16,1
191.0,0.56,7.5,0.038,0.23,1
79.0,0.54,6.2,0.037,0.17,1
102.0,0.87,6.9,0.03,0.39,1
102.0,0.86,6.9,0.031,0.41,1
191.0,0.56,7.5,0.038,0.23,1
131.0,0.44,7.5,0.045,0.38,1
122.0,0.37,7.3,0.045,0.42,1
163.0,0.47,7.3,0.04,0.34,1
166.0,0.4,7.8,0.042,0.23,1
159.0,0.35,9.0,0.045,0.245,1
176.0,0.27,6.9,0.032,0.2,1
212.0,0.33,7.4,0.067,0.19,1
163.0,0.3,8.2,0.035,0.2,1
228.0,0.75,8.0,0.038,0.59,1
114.0,0.49,7.9,0.05,0.14,1
105.0,0.49,6.8,0.047,0.24,1
142.0,0.62,9.7,0.049,0.14,1
130.0,0.45,9.2,0.046,0.15,1
94.0,0.61,9.4,0.049,0.17,1
142.0,0.39,5.2,0.041,0.365,1
116.0,0.5,6.3,0.039,0.23,1
160.0,0.43,9.6,0.04,0.25,1
186.0,0.48,9.2,0.046,0.32,1
169.0,0.46,6.4,0.04,0.31,1
162.0,0.46,8.1,0.044,0.2,1
190.0,0.39,7.9,0.026,0.255,1
177.0,0.62,7.0,0.039,0.15,1
96.0,0.51,6.4,0.044,0.15,1
234.0,0.42,6.4,0.038,0.25,1
114.0,0.74,7.6,0.044,0.19,1
114.0,0.43,7.3,0.028,0.43,1
152.0,0.56,5.1,0.037,0.31,1
161.0,0.66,6.2,0.093,0.2,1
182.0,0.62,6.9,0.043,0.16,1
114.0,0.52,7.7,0.04,0.32,1
168.0,0.36,6.5,0.042,0.22,1
167.0,0.44,6.8,0.047,0.26,1
81.0,0.38,5.2,0.028,0.37,1
104.0,0.46,8.4,0.052,0.19,1
108.0,0.45,8.3,0.05,0.21,1
110.0,0.4,6.8,0.058,0.15,1
210.0,0.51,7.9,0.05,0.16,1
180.0,0.75,7.8,0.034,0.21,1
107.0,0.34,9.0,0.048,0.24,1
189.0,0.72,5.7,0.047,0.21,1
161.0,0.37,7.8,0.042,0.29,1
251.0,0.52,6.7,0.048,0.18,1
251.0,0.52,6.7,0.048,0.18,1
116.0,0.39,8.4,0.033,0.58,1
121.0,0.33,7.2,0.04,0.16,1
151.0,0.33,7.6,0.029,0.54,1
116.0,0.39,8.4,0.033,0.58,1
181.0,0.47,6.6,0.059,0.25,1
165.0,0.4,7.3,0.041,0.23,1
113.0,0.48,7.3,0.043,0.39,1
163.0,0.35,7.0,0.039,0.46,1
162.0,0.34,8.2,0.039,0.35,1
161.0,0.37,7.8,0.042,0.29,1
61.0,0.28,9.2,0.042,0.35,1
122.0,0.67,8.0,0.034,0.57,1
130.0,0.39,6.5,0.027,0.37,1
189.0,0.72,5.7,0.047,0.21,1
251.0,0.52,6.7,0.048,0.18,1
179.0,0.41,7.8,0.04,0.13,1
143.0,0.42,7.6,0.04,0.19,1
191.0,0.59,7.3,0.05,0.22,1
167.0,0.44,6.3,0.039,0.29,1
103.0,0.46,6.8,0.048,0.35,1
132.0,0.54,6.5,0.04,0.19,1
158.0,0.37,6.2,0.044,0.12,1
189.5,0.43,6.0,0.038,0.13,1
115.0,0.48,6.4,0.04,0.25,1
96.0,0.38,6.9,0.051,0.32,1
143.0,0.42,7.6,0.04,0.19,1
140.0,0.33,6.7,0.046,0.13,1
95.0,0.43,7.0,0.037,0.14,1
115.0,0.45,7.6,0.058,0.27,1
191.0,0.59,7.3,0.05,0.22,1
185.0,0.49,7.4,0.168,0.64,1
116.0,0.4,7.6,0.052,0.28,1
162.0,0.38,8.3,0.042,0.26,1
181.0,0.68,10.7,0.044,0.22,1
181.0,0.68,10.7,0.044,0.22,1
121.0,0.38,6.9,0.032,0.23,1
130.0,0.41,6.2,0.032,0.3,1
134.0,0.69,6.9,0.047,0.27,1
136.0,0.71,6.9,0.05,0.28,1
132.0,0.38,6.9,0.047,0.28,1
126.0,0.42,6.9,0.054,0.46,1
152.0,0.35,6.9,0.044,0.38,1
98.0,0.61,5.7,0.039,0.43,1
92.0,0.35,6.6,0.045,0.56,1
102.0,0.33,7.1,0.046,0.36,1
133.0,0.7,6.8,0.047,0.23,1
138.0,0.64,6.2,0.042,0.33,1
116.0,0.9,5.6,0.039,0.49,1
85.0,0.51,6.6,0.034,0.42,1
143.0,0.48,7.3,0.044,0.18,1
180.0,0.34,8.1,0.037,0.19,1
123.0,0.42,5.9,0.034,0.19,1
81.0,0.42,6.2,0.029,0.16,1
85.0,0.51,6.6,0.034,0.42,1
101.0,0.42,5.7,0.042,0.135,1
116.0,0.9,5.6,0.039,0.49,1
98.0,0.46,6.9,0.039,0.19,1
143.0,0.48,7.3,0.044,0.18,1
200.0,0.46,7.3,0.05,0.25,1
200.0,0.46,7.3,0.05,0.25,1
83.0,0.46,7.0,0.035,0.2,1
200.0,0.46,7.3,0.05,0.25,1
222.0,0.52,6.3,0.052,0.67,1
122.0,0.5,7.4,0.044,0.4,1
128.0,0.64,7.1,0.044,0.26,1
73.0,0.38,9.0,0.043,0.31,1
117.0,0.35,6.3,0.069,0.39,1
90.0,0.38,8.2,0.034,0.22,1
78.0,0.78,7.1,0.033,0.19,1
200.0,0.46,7.3,0.05,0.25,1
118.0,0.41,7.9,0.04,0.2,1
97.0,0.4,7.1,0.037,0.26,1
83.0,0.46,7.0,0.035,0.2,1
155.0,0.79,6.9,0.035,0.3,1
124.0,0.41,8.1,0.042,0.29,1
130.0,0.38,5.8,0.037,0.17,1
63.0,0.36,5.9,0.038,0.415,1
128.0,0.6,6.6,0.045,0.23,1
366.5,0.63,8.6,0.057,0.55,1
132.0,0.55,6.9,0.044,0.35,1
103.0,0.4,7.6,0.04,0.14,1
137.0,0.34,9.2,0.042,0.28,1
90.0,0.37,6.2,0.047,0.18,1
105.0,0.47,5.3,0.051,0.165,1
225.0,0.43,9.8,0.056,0.25,1
124.0,0.41,8.1,0.042,0.29,1
128.0,0.35,6.8,0.052,0.22,1
140.0,0.34,7.2,0.045,0.22,1
156.0,0.55,7.4,0.042,0.25,1
81.0,0.68,8.2,0.033,0.18,1
87.0,0.46,6.1,0.051,0.22,1
119.0,0.31,7.0,0.048,0.39,1
87.0,0.46,6.1,0.051,0.22,1
94.0,0.49,6.5,0.03,0.36,1
99.0,0.33,7.1,0.031,0.29,1
156.0,0.55,7.4,0.042,0.25,1
94.0,0.5,6.9,0.053,0.23,1
243.0,0.7,8.5,0.051,0.56,1
81.0,0.68,8.2,0.033,0.18,1
210.0,0.34,6.3,0.05,0.23,1
226.0,0.47,6.1,0.052,0.25,1
162.0,0.44,7.2,0.05,0.26,1
117.0,0.35,7.2,0.057,0.31,1
117.0,0.34,8.0,0.061,0.25,1
125.0,0.4,7.0,0.04,0.18,1
158.0,0.35,7.8,0.033,0.43,1
130.0,0.42,8.3,0.044,0.2,1
92.0,0.42,6.3,0.063,0.27,1
150.0,0.47,7.4,0.055,0.16,1
150.0,0.47,7.4,0.055,0.16,1
172.0,0.27,6.9,0.036,0.19,1
158.0,0.35,7.8,0.033,0.43,1
138.0,0.42,7.2,0.048,0.4,1
158.0,0.35,7.8,0.033,0.43,1
156.0,0.38,7.6,0.034,0.52,1
231.0,0.54,8.3,0.054,0.21,1
150.0,0.81,6.9,0.069,0.34,1
92.0,0.42,6.3,0.063,0.27,1
130.0,0.42,8.3,0.044,0.2,1
144.0,0.41,7.1,0.044,0.22,1
133.0,0.42,7.9,0.048,0.11,1
128.0,0.4,8.5,0.05,0.17,1
164.0,0.44,6.4,0.048,0.145,1
150.0,0.47,7.4,0.055,0.16,1
137.0,0.46,8.3,0.051,0.19,1
151.0,0.27,8.0,0.031,0.44,1
163.0,0.53,7.0,0.044,0.2,1
172.0,0.27,6.9,0.036,0.19,1
96.0,0.39,7.1,0.03,0.25,1
60.0,0.39,6.5,0.046,0.24,1
138.0,0.42,7.2,0.048,0.4,1
156.0,0.38,7.6,0.034,0.52,1
158.0,0.35,7.8,0.033,0.43,1
48.0,0.28,7.8,0.052,0.21,1
128.0,0.48,7.0,0.038,0.2,1
85.0,0.48,6.9,0.057,0.25,1
148.0,0.44,7.2,0.05,0.08,1
184.0,0.36,7.1,0.028,0.85,1
104.0,0.29,7.6,0.04,0.51,1
159.0,0.28,7.9,0.044,0.22,1
124.0,0.49,7.7,0.056,0.16,1
148.0,0.44,7.2,0.05,0.08,1
124.0,0.6,6.6,0.048,0.25,1
187.0,0.81,6.7,0.046,0.16,1
85.0,0.48,6.9,0.057,0.25,1
134.0,0.5,7.5,0.053,0.32,1
126.0,0.39,7.4,0.034,0.28,1
51.0,0.7,6.2,0.033,0.15,1
169.0,0.45,6.7,0.054,0.25,1
224.0,0.54,6.5,0.044,0.26,1
187.0,0.41,7.9,0.037,0.16,1
117.0,0.45,5.6,0.03,0.185,1
97.0,0.62,7.5,0.031,0.2,1
188.0,0.48,8.0,0.046,0.3,1
180.0,0.38,8.0,0.033,0.34,1
186.0,0.38,7.7,0.033,0.35,1
197.0,0.38,7.6,0.03,0.29,1
62.0,0.32,6.7,0.039,0.62,1
126.0,0.48,6.8,0.044,0.27,1
86.0,0.42,7.7,0.041,0.27,1
155.0,0.6,6.7,0.043,0.51,1
132.0,0.32,7.4,0.03,0.19,1
169.0,0.37,8.3,0.04,0.2,1
121.0,0.36,6.6,0.034,0.3,1
124.0,0.34,6.8,0.039,0.36,1
126.0,0.38,7.0,0.045,0.17,1
130.0,0.49,9.2,0.041,0.18,1
205.0,0.52,8.1,0.051,0.2,1
160.0,0.64,7.8,0.044,0.26,1
170.0,0.44,6.8,0.06,0.21,1
144.0,0.47,7.9,0.053,0.2,1
145.0,0.48,8.0,0.061,0.18,1
126.0,0.51,8.8,0.042,0.23,1
134.0,0.32,7.3,0.034,0.22,1
161.0,0.28,7.3,0.031,0.22,1
132.0,0.32,7.4,0.03,0.19,1
136.0,0.77,7.3,0.039,0.155,1
154.0,0.33,8.2,0.037,0.22,1
163.0,0.33,8.2,0.038,0.24,1
95.0,0.34,8.4,0.035,0.23,1
169.0,0.37,8.3,0.04,0.2,1
167.0,0.37,8.3,0.038,0.2,1
121.0,0.36,6.6,0.034,0.3,1
164.0,0.63,6.9,0.041,0.21,1
185.0,0.49,8.0,0.044,0.25,1
158.0,0.39,6.6,0.042,0.21,1
156.0,0.44,7.2,0.037,0.27,1
156.0,0.54,14.2,0.037,0.27,1
195.0,0.55,7.9,0.045,0.28,1
156.0,0.54,7.4,0.037,0.27,1
158.0,0.39,6.6,0.042,0.21,1
156.0,0.44,7.2,0.037,0.27,1
174.0,0.3,8.1,0.037,0.3,1
209.0,0.3,7.5,0.049,0.23,1
107.0,0.54,7.3,0.028,0.26,1
176.0,0.67,7.1,0.044,0.18,1
122.0,0.4,8.5,0.031,0.15,1
24.0,0.32,8.9,0.028,0.13,1
148.0,0.41,8.1,0.04,0.28,1
106.0,0.42,6.0,0.034,0.17,1
107.0,0.54,7.3,0.028,0.26,1
176.0,0.67,7.1,0.044,0.18,1
86.0,0.32,7.1,0.029,0.53,1
104.0,0.57,7.2,0.037,0.16,1
99.0,0.72,7.3,0.038,0.14,1
24.0,0.32,8.9,0.028,0.13,1
152.0,0.47,7.9,0.049,0.12,1
156.0,0.45,6.7,0.034,0.29,1
158.0,0.45,6.7,0.034,0.3,1
102.0,0.59,7.1,0.025,0.36,1
122.0,0.4,8.5,0.031,0.15,1
157.0,0.48,7.9,0.051,0.18,1
129.0,0.31,6.6,0.122,0.19,1
152.0,0.44,7.3,0.038,0.21,1
156.0,0.63,6.9,0.057,0.3,1
164.0,0.6,7.9,0.056,0.42,1
148.0,0.57,6.9,0.032,0.24,1
182.0,0.58,7.6,0.036,0.23,1
157.0,0.48,7.9,0.051,0.18,1
115.0,0.57,6.2,0.045,0.43,1
56.0,0.33,8.8,0.036,0.35,1
156.0,0.52,7.8,0.033,0.3,1
112.0,0.46,9.1,0.059,0.28,1
126.0,0.33,7.1,0.027,0.34,1
156.0,0.52,7.8,0.033,0.3,1
112.0,0.46,9.1,0.059,0.28,1
117.0,0.51,8.5,0.044,0.19,1
158.0,0.41,7.6,0.046,0.18,1
110.0,0.44,7.5,0.055,0.19,1
188.0,0.58,7.4,0.055,0.3,1
157.0,0.46,6.7,0.038,0.3,1
159.0,0.45,6.6,0.041,0.3,1
188.0,0.58,7.4,0.055,0.3,1
168.0,0.5,6.9,0.063,0.22,1
116.0,0.35,7.8,0.045,0.26,1
108.0,0.34,8.5,0.048,0.17,1
182.0,0.76,6.8,0.053,0.17,1
74.0,0.44,6.2,0.05,0.27,1
128.0,0.58,7.1,0.05,0.64,1
168.0,0.68,6.4,0.046,0.18,1
191.0,0.53,7.6,0.062,0.31,1
119.0,0.45,9.8,0.046,0.31,1
84.0,0.32,9.0,0.039,0.3,1
108.0,0.33,8.4,0.039,0.24,1
168.0,0.68,6.4,0.046,0.18,1
209.0,0.42,6.4,0.045,0.25,1
165.0,0.4,7.3,0.039,0.3,1
147.0,0.46,9.3,0.042,0.31,1
209.0,0.42,6.4,0.045,0.25,1
165.0,0.4,7.3,0.039,0.3,1
122.0,0.48,7.0,0.036,0.27,1
165.0,0.82,7.9,0.028,0.14,1
161.0,0.44,6.4,0.042,0.12,1
111.0,0.41,6.8,0.047,0.21,1
63.0,0.59,8.6,0.043,0.16,1
136.0,0.4,7.0,0.047,0.29,1
206.0,0.43,6.4,0.046,0.27,1
122.0,0.3,6.6,0.034,0.55,1
206.0,0.43,6.4,0.046,0.27,1
108.0,0.39,6.3,0.172,0.24,1
94.0,0.5,6.7,0.167,0.33,1
136.0,0.4,7.0,0.047,0.29,1
223.0,0.52,8.2,0.046,0.34,1
77.0,0.36,5.6,0.034,0.39,1
53.0,0.5,5.6,0.034,0.41,1
137.0,0.35,6.7,0.048,0.41,1
113.0,0.42,7.1,0.032,0.26,1
109.0,0.46,7.5,0.031,0.32,1
118.0,0.38,5.8,0.04,0.19,1
235.0,0.47,6.9,0.057,0.27,1
212.0,0.46,8.1,0.048,0.2,1
109.0,0.46,7.5,0.031,0.32,1
100.0,0.34,8.2,0.04,0.26,1
87.0,0.32,7.8,0.027,0.26,1
120.0,0.4,8.0,0.035,0.14,1
131.0,0.34,8.0,0.035,0.29,1
140.0,0.47,7.5,0.047,0.19,1
206.0,0.4,6.9,0.045,0.34,1
143.0,0.52,6.2,0.065,0.2,1
243.0,0.48,6.4,0.045,0.37,1
128.0,0.36,6.2,0.029,0.22,1
87.0,0.32,7.8,0.027,0.26,1
131.0,0.34,8.9,0.05,0.32,1
169.0,0.37,6.5,0.045,0.44,1
118.0,0.36,7.0,0.053,0.14,1
131.0,0.51,9.0,0.039,0.17,1
161.0,0.53,6.4,0.037,0.26,1
195.0,0.44,9.0,0.048,0.22,1
131.0,0.34,8.9,0.05,0.32,1
108.0,0.35,8.2,0.057,0.2,1
98.0,0.31,7.8,0.047,0.15,1
121.0,0.7,6.9,0.053,0.25,1
108.0,0.35,8.2,0.057,0.2,1
111.0,0.58,7.1,0.041,0.28,1
110.0,0.38,7.4,0.037,0.19,1
228.0,0.52,8.3,0.048,0.25,1
126.0,0.45,7.5,0.035,0.14,1
149.0,0.33,7.8,0.043,0.49,1
160.0,0.48,8.1,0.042,0.12,1
220.0,0.51,7.6,0.239,0.47,1
105.0,0.39,7.9,0.042,0.22,1
149.0,0.33,7.8,0.043,0.49,1
151.0,0.52,6.4,0.054,0.22,1
134.0,0.36,7.3,0.058,0.19,1
144.0,0.57,8.1,0.049,0.3,1
134.0,0.36,7.3,0.058,0.19,1
149.0,0.59,7.5,0.048,0.24,1
151.0,0.52,6.4,0.054,0.22,1
99.0,0.28,7.8,0.036,0.21,1
100.0,0.59,7.1,0.045,0.3,1
166.0,0.52,6.9,0.058,0.26,1
131.0,0.67,7.6,0.044,0.31,1
209.0,0.58,6.4,0.076,0.42,1
118.0,0.36,8.2,0.044,0.29,1
176.0,0.38,7.9,0.053,0.33,1
184.0,0.38,6.6,0.052,0.46,1
142.0,0.59,7.8,0.046,0.28,1
98.0,0.48,5.8,0.048,0.15,1
162.0,0.58,7.8,0.06,0.4,1
220.0,0.45,6.6,0.05,0.31,1
217.0,0.4,6.6,0.049,0.325,1
217.0,0.45,6.6,0.049,0.27,1
191.0,0.4,6.7,0.047,0.26,1
114.0,0.42,6.7,0.047,0.21,1
176.0,0.38,7.9,0.053,0.33,1
177.0,0.58,8.1,0.059,0.28,1
114.0,0.51,6.5,0.036,0.13,1
84.0,0.43,7.8,0.04,0.445,1
128.0,0.51,8.8,0.055,0.39,1
72.0,0.38,7.9,0.033,0.18,1
124.0,0.44,7.1,0.036,0.31,1
160.0,0.56,7.8,0.046,0.24,1
87.0,0.42,7.0,0.028,0.35,1
168.0,0.38,6.6,0.138,0.26,1
163.0,0.38,6.6,0.137,0.27,1
188.0,0.44,6.8,0.046,0.22,1
224.0,0.47,6.2,0.047,0.27,1
87.0,0.42,7.0,0.028,0.35,1
156.0,0.35,7.3,0.032,0.23,1
170.0,0.45,6.2,0.045,0.3,1
117.0,0.43,6.4,0.034,0.35,1
197.0,0.55,7.6,0.054,0.32,1
212.0,0.55,6.3,0.046,0.31,1
205.0,0.38,7.2,0.055,0.25,1
205.0,0.38,7.2,0.055,0.25,1
195.0,0.44,7.3,0.049,0.26,1
205.0,0.38,7.2,0.055,0.25,1
147.0,0.72,7.4,0.047,0.26,1
195.0,0.44,7.3,0.049,0.26,1
216.0,0.63,6.7,0.041,0.25,1
123.0,0.55,7.1,0.034,0.16,1
175.0,0.45,9.0,0.05,0.43,1
205.0,0.38,7.2,0.055,0.25,1
213.0,0.49,7.0,0.04,0.24,1
198.0,0.41,6.7,0.048,0.265,1
150.0,0.42,7.7,0.06,0.12,1
132.0,0.4,7.2,0.036,0.21,1
190.0,0.31,8.5,0.041,0.32,1
190.0,0.37,6.9,0.038,0.18,1
213.0,0.49,7.0,0.04,0.24,1
175.0,0.43,6.3,0.043,0.26,1
121.0,0.61,6.7,0.043,0.26,1
208.0,0.46,7.9,0.033,0.29,1
114.0,0.35,6.5,0.046,0.27,1
151.0,0.44,6.7,0.058,0.33,1
148.0,0.45,6.7,0.057,0.31,1
127.0,0.47,6.6,0.035,0.25,1
157.0,0.55,6.4,0.038,0.24,1
179.0,0.4,6.8,0.056,0.26,1
161.0,0.6,7.0,0.051,0.61,1
180.0,0.39,6.8,0.055,0.22,1
67.0,0.47,8.1,0.032,0.31,1
120.0,0.51,7.0,0.037,0.2,1
178.0,0.51,7.9,0.061,0.18,1
136.0,0.49,6.6,0.059,0.34,1
116.0,0.48,6.8,0.123,0.3,1
148.0,0.59,6.5,0.04,0.18,1
108.0,0.5,7.0,0.046,0.21,1
142.0,0.43,6.8,0.044,0.27,1
178.0,0.43,9.3,0.05,0.2,1
69.0,0.31,5.8,0.043,0.23,1
180.0,0.44,7.6,0.044,0.2,1
190.0,0.45,8.2,0.052,0.15,1
148.0,0.38,7.5,0.041,0.4,1
148.0,0.59,6.5,0.04,0.18,1
122.0,0.42,7.0,0.056,0.13,1
152.0,0.37,6.9,0.064,0.17,1
97.0,0.44,7.0,0.034,0.3,1
212.0,0.36,7.6,0.045,0.445,1
116.0,0.48,6.8,0.123,0.3,1
138.0,0.68,7.5,0.036,0.22,1
99.0,0.3,9.2,0.031,0.23,1
198.0,0.37,8.7,0.055,0.34,1
111.0,0.32,6.6,0.031,0.545,1
123.0,0.45,8.1,0.041,0.3,1
185.0,0.38,6.9,0.057,0.16,1
178.0,0.47,8.0,0.042,0.32,1
104.0,0.42,6.1,0.052,0.22,1
185.0,0.38,6.9,0.057,0.16,1
101.0,0.44,7.5,0.054,0.15,1
55.0,0.32,8.4,0.032,0.29,1
150.0,0.45,6.6,0.061,0.37,1
152.0,0.32,7.7,0.038,0.38,1
142.0,0.35,6.3,0.039,0.25,1
169.0,0.51,8.3,0.042,0.3,1
136.0,0.3,6.6,0.133,0.22,1
238.0,0.48,6.1,0.053,0.34,1
87.0,0.42,7.5,0.05,0.22,1
169.0,0.51,8.3,0.042,0.3,1
102.0,0.42,8.0,0.044,0.27,1
135.0,0.43,6.1,0.056,0.17,1
174.0,0.57,7.4,0.045,0.18,1
153.0,0.51,6.7,0.046,0.16,1
197.0,0.54,6.1,0.045,0.255,1
141.0,0.54,7.4,0.049,0.23,1
93.0,0.43,6.4,0.042,0.16,1
142.0,0.35,6.3,0.039,0.25,1
202.0,0.43,6.7,0.053,0.27,1
215.0,0.44,6.9,0.056,0.29,1
53.0,0.46,9.6,0.038,0.21,1
224.0,0.44,6.6,0.046,0.62,1
181.0,0.35,6.4,0.042,0.28,1
124.0,0.51,8.0,0.044,0.3,1
98.0,0.42,6.4,0.037,0.17,1
112.0,0.5,7.3,0.037,0.21,1
202.0,0.43,6.7,0.053,0.27,1
215.0,0.44,6.9,0.056,0.29,1
209.0,0.45,6.6,0.054,0.32,1
179.0,0.69,7.4,0.051,0.32,1
144.0,0.38,6.6,0.048,0.37,1
102.0,0.56,7.7,0.046,0.43,1
181.0,0.42,7.8,0.059,0.39,1
141.0,0.72,6.5,0.041,0.18,1
178.0,0.43,7.8,0.059,0.4,1
181.0,0.42,7.8,0.059,0.39,1
99.0,0.4,6.9,0.054,0.19,1
135.0,0.4,7.7,0.03,0.49,1
163.0,0.47,6.6,0.069,0.25,1
141.0,0.72,6.5,0.041,0.18,1
150.0,0.69,6.4,0.034,0.15,1
150.0,0.69,6.4,0.034,0.15,1
150.0,0.38,8.4,0.052,0.17,1
200.0,0.44,6.1,0.051,0.32,1
142.0,0.37,8.5,0.034,0.21,1
100.0,0.57,8.7,0.067,0.45,1
127.0,0.46,6.7,0.038,0.24,1
142.0,0.37,8.5,0.034,0.21,1
115.0,0.52,7.4,0.04,0.33,1
158.0,0.43,7.2,0.033,0.26,1
122.0,0.34,8.2,0.035,0.36,1
189.0,0.74,7.8,0.026,0.2,1
176.0,0.46,9.4,0.042,0.16,1
117.0,0.5,6.4,0.054,0.33,1
153.0,0.53,7.8,0.056,0.22,1
187.0,0.64,7.4,0.062,0.35,1
120.0,0.54,6.6,0.064,0.37,1
149.0,0.47,6.7,0.061,0.37,1
126.0,0.62,7.1,0.037,0.37,1
128.0,0.34,6.9,0.039,0.25,1
173.0,0.41,6.8,0.073,0.23,1
162.0,0.58,6.4,0.04,0.26,1
191.0,0.4,7.6,0.049,0.3,1
67.0,0.32,9.4,0.042,0.16,1
173.0,0.41,6.8,0.073,0.23,1
162.0,0.58,6.4,0.04,0.26,1
191.0,0.4,7.6,0.049,0.3,1
119.0,0.39,7.5,0.065,0.33,1
116.0,0.41,7.6,0.046,0.38,1
184.0,0.79,8.8,0.053,0.2,1
119.0,0.39,7.5,0.065,0.33,1
184.0,0.79,8.8,0.053,0.2,1
184.0,0.41,6.6,0.049,0.36,1
116.0,0.41,7.6,0.046,0.38,1
72.0,0.37,5.6,0.042,0.46,1
110.0,0.43,7.2,0.038,0.15,1
100.0,0.32,8.2,0.03,0.42,1
164.0,0.53,6.8,0.038,0.3,1
131.0,0.5,6.7,0.029,0.27,1
114.0,0.34,7.2,0.034,0.5,1
96.0,0.44,6.0,0.032,0.26,1
131.0,0.41,6.8,0.032,0.33,1
164.0,0.53,6.8,0.038,0.3,1
110.0,0.38,7.4,0.035,0.29,1
100.0,0.32,8.2,0.03,0.42,1
231.0,0.54,7.3,0.054,0.19,1
165.0,0.32,6.5,0.033,0.32,1
84.0,0.6,7.1,0.034,0.32,1
165.0,0.32,6.5,0.033,0.32,1
231.0,0.54,7.3,0.054,0.19,1
240.0,0.54,7.3,0.051,0.17,1
167.0,0.43,7.7,0.031,0.44,1
167.0,0.43,7.7,0.031,0.44,1
153.0,0.51,7.4,0.03,0.49,1
167.0,0.43,7.7,0.031,0.44,1
153.0,0.51,7.4,0.03,0.49,1
160.0,0.41,6.4,0.044,0.21,1
213.0,0.56,8.0,0.211,0.55,1
104.0,0.54,7.0,0.123,0.19,1
102.0,0.64,7.2,0.037,0.24,1
247.0,0.55,6.5,0.052,0.34,1
104.0,0.54,7.0,0.123,0.19,1
164.0,0.51,6.9,0.054,0.18,1
102.0,0.64,7.2,0.037,0.24,1
249.0,0.52,8.2,0.039,0.18,1
139.0,0.77,8.3,0.059,0.28,1
94.0,0.62,6.1,0.029,0.34,1
157.0,0.44,7.4,0.049,0.44,1
180.0,0.38,7.6,0.041,0.26,1
157.0,0.44,7.4,0.049,0.44,1
243.0,0.82,8.7,0.052,0.49,1
189.0,0.42,7.0,0.042,0.24,1
181.0,0.42,7.1,0.046,0.25,1
94.0,0.62,6.1,0.029,0.34,1
127.0,0.67,6.4,0.049,0.18,1
107.0,0.59,8.3,0.058,0.27,1
172.0,0.55,6.8,0.048,0.24,1
197.0,0.45,8.0,0.053,0.22,1
181.0,0.46,10.0,0.056,0.91,1
176.0,0.47,8.9,0.056,0.34,1
171.0,0.47,8.9,0.056,0.33,1
197.0,0.45,8.0,0.053,0.22,1
161.0,0.66,6.7,0.046,0.18,1
186.0,0.46,7.8,0.054,0.2,1
104.0,0.92,7.3,0.054,0.13,1
202.0,0.39,6.6,0.049,0.28,1
122.0,0.61,7.1,0.042,0.25,1
142.0,0.43,7.6,0.255,0.36,1
199.0,0.5,7.6,0.05,0.27,1
137.0,0.37,6.9,0.031,0.37,1
144.0,0.38,7.4,0.031,0.21,1
140.0,0.37,8.2,0.035,0.18,1
163.0,0.5,6.3,0.049,0.19,1
168.0,0.49,7.0,0.048,0.21,1
166.0,0.46,5.8,0.047,0.33,1
166.0,0.46,5.8,0.047,0.33,1
154.0,0.31,7.9,0.034,0.29,1
165.0,0.6,6.6,0.058,0.31,1
140.0,0.49,8.0,0.053,0.19,1
78.0,0.37,8.0,0.032,0.2,1
248.0,0.57,8.0,0.043,0.25,1
103.0,0.36,7.2,0.043,0.2,1
213.0,0.63,7.7,0.045,0.3,1
103.0,0.36,7.2,0.043,0.2,1
213.0,0.63,7.7,0.045,0.3,1
213.0,0.63,7.7,0.045,0.3,1
124.0,0.39,6.4,0.029,0.22,1
103.0,0.36,7.2,0.043,0.2,1
107.0,0.32,7.0,0.036,0.53,1
178.0,0.43,7.3,0.05,0.24,1
185.0,0.42,7.2,0.049,0.24,1
112.0,0.76,7.6,0.036,0.15,1
213.0,0.63,7.7,0.045,0.3,1
197.0,0.64,7.6,0.045,0.33,1
142.0,0.41,6.8,0.046,0.24,1
142.0,0.41,6.8,0.046,0.24,1
161.0,0.44,6.8,0.056,0.35,1
212.0,0.49,7.9,0.039,0.26,1
166.0,0.41,7.5,0.037,0.29,1
166.0,0.41,7.5,0.037,0.29,1
89.0,0.64,7.2,0.053,0.31,1
104.0,0.62,6.7,0.03,0.44,1
166.0,0.43,10.0,0.033,0.23,1
118.0,0.34,7.4,0.039,0.21,1
183.0,0.49,8.8,0.04,0.23,1
106.0,0.55,7.8,0.04,0.34,1
212.0,0.49,7.9,0.039,0.26,1
166.0,0.41,7.5,0.037,0.29,1
120.0,0.69,6.0,0.037,0.28,1
158.0,0.59,7.9,0.029,0.37,1
98.0,0.59,7.2,0.038,0.36,1
126.0,0.39,7.6,0.062,0.13,1
180.0,0.42,6.6,0.045,0.25,1
71.0,0.74,7.1,0.041,0.18,1
112.0,0.46,7.9,0.036,0.3,1
153.0,0.5,8.3,0.049,0.23,1
135.0,0.37,6.8,0.033,0.43,1
98.0,0.59,7.2,0.038,0.36,1
180.0,0.42,6.6,0.045,0.25,1
71.0,0.74,7.1,0.041,0.18,1
177.0,0.58,6.6,0.044,0.35,1
189.0,0.66,7.3,0.049,0.22,1
158.0,0.49,8.1,0.052,0.26,1
126.0,0.39,7.6,0.062,0.13,1
127.0,0.41,7.0,0.055,0.12,1
59.0,0.48,8.2,0.028,0.37,1
